component,s,branch_id,x,y,residual,det_hessian,jacobi,max_real_eigenvalue
Case1-arc,0.052166519187057565,3,-0.4669328259331321,1.1127148846612123,7.108895957933346e-16,-69.47741103104777,7.66689500682099,3.368148721686058
Case1-arc,0.052166519187057565,4,-0.12945947591129947,0.02619971958768236,5.561946577567963e-17,-122.15588955463042,4.758173320898182,4.0347611280392695
Case1-arc,0.052166519187057565,5,0.5324413198218053,-0.5237965065149042,1.1102230246251565e-16,1.2144993316341766,3.165139367504886,0.43800323813769915
Case1-arc,0.06955535891812703,1,-1.7108052042629844,1.7462088304197845,3.1401849173675503e-16,-15.667296292902005,10.340459806759975,2.146763270677515
Case1-arc,0.06955535891812703,2,-1.177128714909794,0.4932632783285881,9.992007221626409e-16,-70.14365420307603,8.029469516801367,3.387539935456166
Case1-arc,0.06955535891812703,3,-0.4726638545393261,1.1013178221627948,2.2887833992611187e-16,-76.76167635279876,7.870072538123262,3.4594343931033613
Case1-arc,0.06955535891812703,4,-0.14843225037067545,0.04423865231469108,1.5515838457795457e-16,-97.81676402333883,5.077552793547366,3.8607159503390567
Case1-arc,0.06955535891812703,5,0.5576294985960603,-0.5407968593540269,0.0,1.1810206527148088,3.2832395373874723,0.437440272649199
Case1-arc,0.08694419865052123,1,-1.7019426581460195,1.734985161718862,3.1401849173675503e-16,-14.91130203035064,10.32299817784525,2.116047872183522
Case1-arc,0.08694419865052123,2,-1.1634457424236138,0.4982691909028529,2.2887833992611187e-16,-78.63415906155713,8.240908984081479,3.4908377505969472
Case1-arc,0.08694419865052123,3,-0.4779121718847839,1.0898445951001012,7.216449660063518e-16,-84.90438705593465,8.08441822697378,3.554310166747329
Case1-arc,0.08694419865052123,4,-0.1658884030596118,0.06037660604256476,3.065703529144609e-16,-80.936208262317,5.399998634459724,3.7323715690085546
Case1-arc,0.08694419865052123,5,0.5824888670025717,-0.5573925344726082,1.1102230246251565e-16,1.1469792522963829,3.4060559373355357,0.4356243747128092
Case1-arc,0.10433303838447339,1,-1.6933466024157484,1.723924697996681,4.965068306494546e-16,-14.16339447931412,10.31109250613357,2.084488393560145
Case1-arc,0.10433303838447339,2,-1.1498442547316055,0.5026704113337569,8.95090418262362e-16,-88.15153593722748,8.464396621668861,3.597485688651551
Case1-arc,0.10433303838447339,3,-0.4826857652063889,1.0783117609595476,6.684427777288335e-16,-94.00048518105093,8.310672978868642,3.652797065072017
Case1-arc,0.10433303838447339,4,-0.18252360449092994,0.0751050550643644,2.8576114088871287e-16,-67.90577444372761,5.7298022075681825,3.630142758368132
Case1-arc,0.10433303838447339,5,0.607204316654695,-0.5736973438807897,0.0,1.1128613607699607,3.5339513906716817,0.4328744060521835
Case1-arc,0.12172187812026575,1,-1.6850427935440448,1.713038699350314,6.280369834735101e-16,-13.424161381239344,10.305073753539418,2.052040358185999
Case1-arc,0.12172187812026575,2,-1.1363350970697352,0.5064939090148515,9.42055475210265e-16,-98.80837151448944,8.700727492115952,3.7074987427206043
Case1-arc,0.12172187812026575,3,-0.4869936112448816,1.0667323556512476,2.220446049250313e-16,-104.1557875332768,8.54962986256332,3.7549289283147935
Case1-arc,0.12172187812026575,4,-0.1988441364701447,0.0886162503578932,3.608224830031759e-16,-57.11437950400074,6.0698810745977925,3.54423610915799
