component,s,c1,c2,N_eq
Case2-loop,0.17855532455555595,0.20674861269363673,-1.066291025893813,7
Case2-loop,0.19641089156774125,0.22602438967313154,-1.0609576910316054,7
Case2-loop,0.21426646963245172,0.2451685027983051,-1.0551695152261367,7
Case2-loop,0.23212206094531754,0.2641674299670454,-1.048921249662267,7
Case2-loop,0.2499776683007215,0.28300657745536056,-1.0422065947653605,7
Case2-loop,0.2678332953040927,0.30166999649319465,-1.0350179318584676,7
Case2-loop,0.2856889466787565,0.32014000704055595,-1.027345981892649,7
Case2-loop,0.3035446287191614,0.3383966921970286,-1.019179368041913,7
Case2-loop,0.32140034997302036,0.3564172095665357,-1.010504050867686,7
Case2-loop,0.33925612229650814,0.3741748395273948,-1.0013025940059772,7
Case2-loop,0.3571119625253942,0.39163764907763166,-0.9915532046128055,7
Case2-loop,0.3749678951957793,0.40876658447110326,-0.9812284768625473,9
Case2-loop,0.39282395709767376,0.42551270106882916,-0.9702937526664519,9
Case2-loop,0.4106802051017491,0.4418130708596922,-0.9587050146463589,9
Case2-loop,0.4285367299229881,0.4575846432181933,-0.9464062796735851,9
Case2-loop,0.4463936806248546,0.4727149400008915,-0.9333266662753393,9
Case2-loop,0.4642513077235088,0.48704797414215967,-0.9193779156970125,9
Case2-loop,0.4821100336849073,0.500363541702984,-0.9044547319056523,9
Case2-loop,0.4999705418238708,0.512349544633668,-0.888443957037037,9
Case2-loop,0.5178334991309936,0.5225747235174952,-0.8712554107879392,9
Case2-loop,0.5356996670030886,0.5304930398875944,-0.8528900392662356,9
Case2-loop,0.5535690813504279,0.5355432432352774,-0.8335384294717842,9
Case2-loop,0.5714393592021408,0.537377670201208,-0.8136227081297867,9
Case2-loop,0.5893072206437232,0.5360714285892267,-0.7936650846404864,9
Case2-loop,0.607171169679016,0.5320770190069976,-0.7740676308835109,9
Case2-loop,0.6250317476154058,0.5259827933212436,-0.7550184303101725,9
Case2-loop,0.6428901048501825,0.5183201089301469,-0.7365443827902469,9
Case2-loop,0.6607471587041055,0.5094988860084851,-0.7185947276483032,9
Case2-loop,0.6786034752957929,0.49981578876615607,-0.7010950153698312,9
Case2-loop,0.6964593741605952,0.4894817033047933,-0.6839716983069648,9
Case2-loop,0.7143150317647551,0.47864710106399705,-0.6671606258595482,9
Case2-loop,0.7321705463381732,0.4674207728846259,-0.6506085863469199,9
Case2-loop,0.7500259737075397,0.4558827008288461,-0.6342723329756338,9
Case2-loop,0.7678813464260398,0.4440927209962927,-0.618116945228428,11
Case2-loop,0.7857366839921652,0.43209635916016786,-0.6021142136497161,11
Case2-loop,0.8035919983955813,0.4199288034841757,-0.5862412597523943,9
Case2-loop,0.8214472971941729,0.407617648841755,-0.570479422191042,9
Case2-loop,0.8393025852638434,0.3951848232541485,-0.5548133798111985,7
Case2-loop,0.8571578658184285,0.38264796226668524,-0.5392304679555477,7
Case2-loop,0.8750131410185004,0.3700214049612846,-0.5237201465936226,7
Case2-loop,0.8928684123431692,0.35731692658332975,-0.5082735857358496,7
Case2-loop,0.9107236808222682,0.3445442850056731,-0.4928833408756578,7
Case2-loop,0.9285789471838538,0.33171163367792816,-0.4775430974887999,5
Case2-loop,0.94643421195015,0.3188258374890512,-0.46224746863366084,5
Case2-loop,0.9642894755006897,0.30589271711282834,-0.4469918335588225,5
Case2-loop,0.9821447381147084,0.292917240029819,-0.4317722081456926,5
Case2-loop,1.0,0.27990367134012634,-0.41658514020968157,5
