component,s,c1,c2,rho0,rho1,rho2,psi_residual
Case2-loop,0.3838959070324874,0.4171910406694913,-0.975839867865747,8.415618392954132,0.6929930152418796,1.272342404765778,6.661338147750939e-15
Case2-loop,0.39282395709767376,0.42551270106882916,-0.9702937526664519,8.10898772418953,0.70969611857826,1.2709734989225303,5.773159728050814e-15
Case2-loop,0.40175205317954643,0.43372323316149297,-0.9645843201819677,7.803794161172458,0.7265622228682559,1.269650495614802,5.88418203051333e-15
Case2-loop,0.4106802051017491,0.4418130708596922,-0.9587050146463589,7.500019486116009,0.7436167533946874,1.2684056907244259,9.43689570931383e-15
Case2-loop,0.4196084253519954,0.44977115980898374,-0.9526484431207713,7.197660229342269,0.760889246257905,1.2672765226396874,7.771561172376096e-15
Case2-loop,0.4285367299229881,0.4575846432181933,-0.9464062796735851,6.896732162265024,0.7784140682505665,1.2663066177070044,1.2323475573339238e-14
Case2-loop,0.4374651394353306,0.46523847437096943,-0.9399691726138806,6.597276325847597,0.7962312596375835,1.26554706750482,1.1324274851176597e-14
Case2-loop,0.4463936806248546,0.4727149400008915,-0.9333266662753393,6.299367129332504,0.81438750773484,1.265057983503392,1.1324274851176597e-14
Case2-loop,0.4553223882846519,0.4799930778872881,-0.9264671570055109,6.00312322367043,0.8329372471581964,1.2649103745106127,9.103828801926284e-15
Case2-loop,0.4642513077235088,0.48704797414215967,-0.9193779156970125,5.708722049136813,0.8519438585695268,1.2651883818447383,8.659739592076221e-15
Case2-loop,0.4731804977176216,0.49384993412011463,-0.9120452281951212,5.4164191416449246,0.8714808937373933,1.2659918759606117,4.440892098500626e-15
Case2-loop,0.4821100336849073,0.500363541702984,-0.9044547319056523,5.126573367042241,0.8916331793724823,1.2674393485200741,2.220446049250313e-15
Case2-loop,0.4910400103037459,0.5065466648136313,-0.89659206185974,4.839679035228983,0.912497532105892,1.2696708980370663,6.661338147750939e-16
Case2-loop,0.4999705418238708,0.512349544633668,-0.888443957037037,4.556404938096766,0.9341826427469591,1.2728508685561786,-4.440892098500626e-16
Case2-loop,0.5089017568005747,0.5177142377815094,-0.88,4.27763810459904,0.9568074720815068,1.2771693260779868,-9.547918011776346e-15
Case2-loop,0.5178334991309936,0.5225747235174952,-0.8712554107879392,4.00453417293419,0.980496544849466,1.2828408542575847,1.9984014443252818e-15
Case2-loop,0.5267661207589928,0.5268590938935442,-0.8622135060689281,3.73851798117519,1.005375021845907,1.2900997640907563,-1.2656542480726785e-14
Case2-loop,0.5356996670030886,0.5304930398875944,-0.8528900392662356,3.481295232640092,1.0315562832484888,1.2991883591511375,-7.172040739078511e-14
Case2-loop,0.5446340647572678,0.5334066416010456,-0.843315979983199,3.2347667705544683,1.059129809614967,1.3103387833862874,6.661338147750939e-16
Case2-loop,0.5535690813504279,0.5355432432352774,-0.8335384294717842,3.0008663203095653,1.088149420111513,1.3237497893277408,4.440892098500626e-16
Case2-loop,0.56250433251109,0.53686865942429,-0.8236180417900296,2.781326547982609,1.1186272453955366,1.3395641722324625,-2.220446049250313e-16
Case2-loop,0.5714393592021408,0.537377670201208,-0.8136227081297867,2.577430705254743,1.1505373227120808,1.3578547719958047,-8.881784197001252e-16
Case2-loop,0.5803737463368349,0.5370951595745679,-0.8036191269828289,2.3898337912557888,1.1838287126001668,1.378624841253068,-4.440892098500626e-16
Case2-loop,0.5893072206437232,0.5360714285892267,-0.7936650846404864,2.2185152550868796,1.2184433722584445,1.4018223984905287,8.881784197001252e-16
Case2-loop,0.5982396816183256,0.5343737173780753,-0.7838047577638373,2.0628647364526875,1.2543323571841636,1.4273622875748257,-1.3322676295501878e-15
Case2-loop,0.607171169679016,0.5320770190069976,-0.7740676308835109,1.921849028972115,1.2914661601428863,1.455148151270979,-2.6645352591003757e-15
Case2-loop,0.6161018075953574,0.5292565486071849,-0.7644701125872476,1.794195098870262,1.3298386330364371,1.4850891983539232,-5.240252676230739e-14
Case2-loop,0.6250317476154058,0.5259827933212436,-0.7550184303101725,1.678543996051847,1.3694663075980893,1.5171103928857308,-1.9095836023552692e-14
Case2-loop,0.6339611375686752,0.5223189534300652,-0.745711673453731,1.5735586449291146,1.4103854202234989,1.5511571486319125,-4.884981308350689e-15
Case2-loop,0.6428901048501825,0.5183201089301469,-0.7365443827902469,1.4779880143659112,1.4526483601702886,1.5871963976117156,-2.220446049250313e-15
Case2-loop,0.6518187520811702,0.5140334259881988,-0.7275085013188922,1.390698288281555,1.4963204723111048,1.6252156922577454,-8.881784197001252e-16
Case2-loop,0.6607471587041055,0.5094988860084851,-0.7185947276483032,1.3106823868489443,1.541477564928672,1.665221479452236,0.0
Case2-loop,0.6696753848123803,0.5047502090198206,-0.7097933961314736,1.2370568517830451,1.5882041544544823,1.70723720801846,1.3322676295501878e-15
