component,s,branch_id,reliable,x,y,c1,c2,r,jacobi_CJ,max_real,n_centre_pairs,omega1,omega2,ratio
Case1-arc,0.3129991155279827,2,True,-0.9933247304513484,0.5165485078362619,-1.0338733717107316,1.04775287955598,1.119605457772564,12.442289857982985,5.1539678476276425,1,3.5649679516203556,,
Case1-arc,0.3129991155279827,3,True,-0.5062827873620691,0.9371644491777892,-1.0338733717107316,1.04775287955598,1.065175790929279,12.31028441780126,5.130160433140014,1,3.530963587514426,,
Case1-arc,0.3129991155279827,4,True,-0.4087632101424257,0.0773284335989843,-1.0338733717107316,1.04775287955598,0.4160132793659517,11.076520616007349,4.5789520990364965,1,2.7796223630181984,,
Case1-arc,0.3129991155279827,6,True,-0.3242709614601536,0.2909332691942479,-1.0338733717107316,1.04775287955598,0.4356533295756445,10.963719071553768,2.4225388749161736,0,,,
Case1-arc,0.3129991155279827,7,True,-0.1608529799201439,0.3270913325630834,-1.0338733717107316,1.04775287955598,0.36450297802224313,11.009094309751417,4.314238571474935,1,2.427639640670468,,
Case1-arc,0.3129991155279827,5,True,0.929031221970468,-0.7616228303126337,-1.0338733717107316,1.04775287955598,1.2013194192425958,5.608929166043384,0.3625845293132376,0,,,
Case1-arc,0.3303879553614873,1,True,-1.62332139991638,1.600196496789586,-1.0203316373667173,1.0330348147697253,2.2794300155442673,10.846501993569227,1.5774318814624206,1,1.4976439928051144,,
Case1-arc,0.3303879553614873,2,True,-0.980553706157898,0.5149530896657081,-1.0203316373667173,1.0330348147697253,1.1075478568514538,12.920842707778561,5.307308173098908,1,3.651763190630123,,
Case1-arc,0.3303879553614873,3,True,-0.5056839576215827,0.9250352489574888,-1.0203316373667173,1.0330348147697253,1.054232648332269,12.789605871314498,5.277686773957348,1,3.6114873509687238,,
Case1-arc,0.3303879553614873,4,True,-0.423017586900176,0.0713092955102145,-1.0203316373667173,1.0330348147697253,0.42898589073885757,11.70532784908156,4.801244789714341,1,2.967437963601076,,
Case1-arc,0.3303879553614873,6,True,-0.3448547155511958,0.3083844464712648,-1.0203316373667173,1.0330348147697253,0.4626291621410009,11.549524671629385,2.493906344202587,0,,,
Case1-arc,0.3303879553614873,7,True,-0.1493613029518862,0.3416436833793466,-1.0203316373667173,1.0330348147697253,0.3728662028295034,11.629022655503755,4.582248681338159,1,2.686102512553316,,
Case1-arc,0.3303879553614873,5,True,0.9601385073846964,-0.7767861904658337,-1.0203316373667173,1.0330348147697253,1.2350152788776887,5.840931841904244,0.35439358090691064,0,,,
Case1-arc,0.3477767952220379,1,True,-1.6233588938182593,1.5924568237118415,-1.006782941081792,1.018323158537207,2.27403008632807,10.958859138586618,1.5297145405674364,1,1.4693785892790014,,
Case1-arc,0.3477767952220379,2,True,-0.9677376502018804,0.5129816330587466,-1.006782941081792,1.018323158537207,1.0952927989692416,13.429937867593758,5.46378756820601,1,3.7384105732230903,,
Case1-arc,0.3477767952220379,3,True,-0.5047165795832125,0.9127804369624036,-1.006782941081792,1.018323158537207,1.0430277809375232,13.299284292465313,5.4282487794842975,1,3.691609275911324,,
Case1-arc,0.3477767952220379,4,True,-0.4365197209276773,0.0657864567695723,-1.006782941081792,1.018323158537207,0.44144911898549766,12.373955504642254,5.027885740483346,1,3.1528580429024453,,
Case1-arc,0.3477767952220379,6,True,-0.3657955554208359,0.3279779571349795,-1.006782941081792,1.018323158537207,0.49130024295950875,12.163682931439137,2.5503156130251696,0,,,
Case1-arc,0.3477767952220379,7,True,-0.1395745052771443,0.355125243004583,-1.006782941081792,1.018323158537207,0.381569103495584,12.288475877805235,4.841429542320349,1,2.919085830210518,,
Case1-arc,0.3477767952220379,5,True,0.9922229831585178,-0.7917703637028182,-1.006782941081792,1.018323158537207,1.2694119729804352,6.084645189729191,0.3458289303349716,0,,,
Case1-arc,0.3651656351178129,1,True,-1.6246915339712733,1.5849121851578325,-0.9932264704728214,1.003618665863467,2.269706856671078,11.084598394291621,1.4806627607489675,1,1.4405185472184634,,
Case1-arc,0.3651656351178129,2,True,-0.9548456837763504,0.5106387444248797,-0.9932264704728214,1.003618665863467,1.082812175372139,13.971830531264724,5.623011788369134,1,3.8242570650628664,,
Case1-arc,0.3651656351178129,3,True,-0.5033833723326663,0.900370793111876,-0.9932264704728214,1.003618665863467,1.0315339958672793,13.841565365243405,5.581362421747243,1,3.770553420842295,,
Case1-arc,0.3651656351178129,4,True,-0.4494027002852811,0.06069943733905,-0.9932264704728214,1.003618665863467,0.45348341614328025,13.085344500127972,5.259749600983115,1,3.33757618282777,,
Case1-arc,0.3651656351178129,6,True,-0.3876567630227062,0.3497376190785141,-0.9932264704728214,1.003618665863467,0.5221055143512184,12.807251006644664,2.5946672832787074,0,,,
Case1-arc,0.3651656351178129,7,True,-0.1309947062423572,0.3678338730654075,-0.9932264704728214,1.003618665863467,0.3904630216010471,12.990182092325423,5.097577055853093,1,3.137799124577729,,
Case1-arc,0.3651656351178129,5,True,1.025363597351583,-0.806523817689985,-0.9932264704728214,1.003618665863467,1.3045501812023206,6.340767634605352,0.33687003574355556,0,,,
