arc,s,R_p,M,r_max_bound,max_detected_r,detected_within_bound,bound_in_box
Case2-loop,0.4463936806248546,1.046211298199692,9.378812620570738,2.857794964299903,2.2540818968667526,True,True
Case2-loop,0.4642513077235088,1.0404188968811383,8.825854289551074,2.8120300258445963,2.2167975274753307,True,True
Case2-loop,0.4821100336849073,1.0336353495948556,8.285645894934794,2.7647785938619465,2.1789278577921305,True,True
Case2-loop,0.4999705418238708,1.025589937880611,7.763438449399903,2.7162081203075212,2.1406006093000327,True,True
Case2-loop,0.5178334991309936,1.0159578399159324,7.2678715720412415,2.6668082653261305,2.1021145434550803,True,True
Case2-loop,0.5356996670030886,1.004412407554159,6.812039875039718,2.6176058968539415,2.0701110972457175,True,True
Case2-loop,0.5535690813504279,1.0,6.412765529748819,2.5773720002688223,2.0546446642374083,True,True
Case2-loop,0.5714393592021408,1.0,6.085822799962629,2.5460572427955275,2.0448692193482025,True,True
Case2-loop,0.5893072206437232,1.0,5.838781025835853,2.5216605513821038,2.041045223948473,True,True
Case2-loop,0.607171169679016,1.0,5.668463340385981,2.5044466158264673,2.0426858554419036,True,True
Case2-loop,0.6250317476154058,1.0,5.565120696535667,2.4938371318374646,2.0489431975237298,True,True
Case2-loop,0.6428901048501825,1.0,5.517832772147916,2.4889396204315006,2.05898234970534,True,True
Case2-loop,0.6607471587041055,1.0,5.517381431229852,2.488892744654066,2.0721412099083456,True,True
Case2-loop,0.6786034752957929,1.0,5.5569462063662485,2.4929924584062073,2.087945619857869,True,True
Case2-loop,0.6964593741605952,1.0,5.631880444791916,2.500705405913297,2.106075224494269,True,True
Case2-loop,0.7143150317647551,1.0,5.739283955776291,2.5116447766368135,2.126324838019454,True,True
Case2-loop,0.7321705463381732,1.0,5.877624785748081,2.5255405504311463,2.1485739507902073,True,True
Case2-loop,0.7500259737075397,1.0,6.046464126524312,2.542214125285294,2.172765299363461,True,True
Case2-loop,0.7678813464260398,1.0,6.246276797499856,2.561559092099152,2.1988905720123957,True,True
Case2-loop,0.7857366839921652,1.0,6.4783480302137955,2.5835274540708193,2.2269812264978666,True,True
Case2-loop,0.8035919983955813,1.0,6.744730038658817,2.608120135201265,2.257102900633497,True,True
Case2-loop,0.8214472971941729,1.0,7.048247437414491,2.635380764392544,2.289352394059101,True,True
Case2-loop,0.8393025852638434,1.0,7.39254583773927,2.665391982393783,2.3238565748907907,True,True
Case2-loop,0.8571578658184285,1.0,7.782182456235193,2.6982737600632043,2.360772829145147,True,True
Case2-loop,0.8750131410185004,1.0,8.222761602503788,2.734183411331667,2.4002908579939164,True,True
Case2-loop,0.8928684123431692,1.0,8.721121936470118,2.7733171391592104,2.4426357681713076,True,True
Case2-loop,0.9107236808222682,1.0,9.285586922447605,2.8159130814864657,2.4880725171281495,True,True
Case2-loop,0.9285789471838538,1.0,9.92629555810798,2.8622559408769037,2.5369118843353227,True,True
Case2-loop,0.94643421195015,1.0,10.655637998383622,2.9126833997408266,2.589518258278348,True,True
Case2-loop,0.9642894755006896,1.0,11.488831219952075,2.967594656564025,2.6463196694599316,True,True
Case2-loop,0.9821447381147084,1.0,12.44468501587184,3.0274615835033125,2.7078206786771353,True,True
Case2-loop,1.0,1.0,13.546630911933605,3.0928432229755907,2.7746189643644064,True,True
