family,amplitude,geom_amplitude,T,jacobi_CJ,closure,nu,abs_nu_plus2,nontriv1_re,nontriv1_im,nontriv1_abs,classification,mult1_re,mult1_im,mult2_re,mult2_im,mult3_re,mult3_im,mult4_re,mult4_im
fam10_case2_res_2to1,0.2500000000000001,0.2511648882954437,17.048845126780215,20.358942387799367,1.3983702241310703e-14,-1.998186055013829,0.0018139449861709345,-0.9990930275067843,-0.042580774852830745,0.9999999999998698,spectrally stable (near transition),-0.9990930275067843,0.042580774852830745,-0.9990930275067843,-0.042580774852830745,0.9999999999999909,1.2017028208766594e-07,0.9999999999999909,-1.2017028208766594e-07
fam10_case2_res_2to1,0.2540000000000001,0.2552346248178903,17.054221116197446,20.35900505408814,2.670472449639342e-14,-1.9986538163520082,0.0013461836479917721,-0.9993269081758951,-0.036684200896131725,0.9999999999998908,spectrally stable (near transition),-0.9993269081758951,0.036684200896131725,-0.9993269081758951,-0.036684200896131725,1.0000000000000178,2.492925441376117e-07,1.0000000000000178,-2.492925441376117e-07
fam10_case2_res_2to1,0.2580000000000001,0.25930733683403884,17.059694105419098,20.359068716952084,5.94616206239026e-14,-1.9990585666088758,0.0009414333911241801,-0.9995292833041938,-0.03067917562315157,0.9999999999997558,spectrally stable (near transition),-0.9995292833041938,0.03067917562315157,-0.9995292833041938,-0.03067917562315157,0.9999998199075154,0.0,1.0000001800923517,0.0
fam10_case2_res_2to1,0.2620000000000001,0.2633831089900661,17.06526471214326,20.359133376846454,2.5688861855847274e-14,-1.9993964627696372,0.0006035372303627717,-0.9996982313846355,-0.024565141279164586,0.9999999999998168,spectrally stable (near transition),-0.9996982313846355,0.024565141279164586,-0.9996982313846355,-0.024565141279164586,0.9999996930577868,0.0,1.000000306942401,0.0
fam10_case2_res_2to1,0.2660000000000001,0.2674628237854547,17.070933569042644,20.359199034256626,6.171151492092544e-14,-1.999663559600438,0.0003364403995620435,-0.9998317798000049,-0.018341540325887196,0.9999999999997858,spectrally stable (near transition),-0.9998317798000049,0.018341540325887196,-0.9998317798000049,-0.018341540325887196,0.999999923512179,0.0,1.0000000764877455,0.0
fam10_case2_res_2to1,0.27000000000000013,0.2715460185553805,17.076701324049225,20.359265689698752,1.1422483467939444e-13,-1.999855807513593,0.0001441924864069577,-0.9999279037566788,-0.012007801153353965,0.9999999999998822,spectrally stable (near transition),-0.9999279037566788,0.012007801153353965,-0.9999279037566788,-0.012007801153353965,0.9999997151557514,0.0,1.0000002848442993,0.0
fam10_case2_res_2to1,0.27400000000000013,0.27563255803164016,17.082568640628082,20.359333343720476,4.114853145868044e-14,-1.9999690503901595,3.094960984051376e-05,-0.9999845251948316,-0.005563215829971502,0.9999999999997518,spectrally stable (near transition),-0.9999845251948316,0.005563215829971502,-0.9999845251948316,-0.005563215829971502,0.9999998727288301,0.0,1.000000127271061,0.0
fam10_case2_res_2to1,0.27800000000000014,0.27972253199149866,17.088536198094317,20.359401996901646,7.111159113661697e-14,-1.999999023361607,9.76638393046514e-07,-0.9999995116806502,0.0009882500466582111,0.9999999999998467,spectrally stable (near transition),0.999999999999967,2.7449946672529303e-07,0.999999999999967,-2.7449946672529303e-07,-0.9999995116806502,0.0009882500466582111,-0.9999995116806502,-0.0009882500466582111
fam10_case2_res_2to1,0.28200000000000014,0.2838160316004112,17.094604691915297,20.35947164985502,9.606949857463586e-14,-1.9999413505486556,5.8649451344372494e-05,-0.9999706752742002,-0.0076582368339413245,0.9999999999998723,spectrally stable (near transition),-0.9999706752742002,0.0076582368339413245,-0.9999706752742002,-0.0076582368339413245,0.9999998455381016,0.0,1.0000001544620984,0.0
fam10_case2_res_2to1,0.28600000000000014,0.2879131494242209,17.100774834021642,20.359542303226945,1.8650724537925258e-14,-1.9997915427587118,0.00020845724128815135,-0.9998957713792291,-0.014437672169801475,0.9999999999998731,spectrally stable (near transition),-0.9998957713792291,0.014437672169801475,-0.9998957713792291,-0.014437672169801475,0.9999997805509873,0.0,1.0000002194492288,0.0
fam10_case2_res_2to1,0.29000000000000015,0.29201397944298585,17.107047353147507,20.359613957698127,2.030503958323619e-14,-1.9995449951414868,0.00045500485851324157,-0.9997724975705544,-0.021329629653552843,0.9999999999998109,spectrally stable (near transition),-0.9997724975705544,0.021329629653552843,-0.9997724975705544,-0.021329629653552843,0.9999999999999344,2.232322364235327e-07,0.9999999999999344,-2.232322364235327e-07
fam10_case2_res_2to1,0.29400000000000015,0.29611861706618287,17.11342299517189,20.35968661398432,5.247153317530307e-14,-1.999196984802758,0.0008030151972420185,-0.999598492401176,-0.02833467820339453,0.9999999999997969,spectrally stable (near transition),-0.999598492401176,0.02833467820339453,-0.999598492401176,-0.02833467820339453,0.9999997906579581,0.0,1.0000002093421028,0.0
